,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Kalhan Rosenblatt,Drag queens being swatted while streaming on TWITCH...,"Since September, six members of the streaming group Stream Queens, a collective of drag queens who stream mostly horror video games on Twitch, have been swatted",https://www.nbcnews.com/pop-culture/pop-culture-news/drag-queens-are-swatted-streaming-twitch-want-stop-rcna5631,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211115-exil9-al-1407-b0ac73.jpg",2021-11-16T18:22:41Z,"It was dark outside when a voice on a loud speaker called drag queen Elix's name and instructed her to walk out of her Las Vegas home.
As she walked out her front door, arms raised above her head, s… [+7509 chars]",nbc-news,NBC News
1,Tim Stelloh and Katie Distler,Olympic gold medalist Suni Lee says she was pepper sprayed in racist attack,"Suni Lee, who made history at the Tokyo Olympics this summer as the first Asian American woman to earn a gold medal in the all-around gymnastics competition,",https://www.nbcnews.com/news/asian-america/suni-lee-says-was-pepper-sprayed-racist-attack-rcna5359,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211111-suni-lee-ew-647p-90d5ef.jpg",2021-11-12T01:03:15Z,"Suni Lee, who made history at the Tokyo Olympics this summer as the first Asian American woman to earn a gold medal in the all-around gymnastics competition, said she was the victim of recent anti-As… [+1998 chars]",nbc-news,NBC News
2,Antonio Planas and The Associated Press,"Shoplifting incident with 80 suspects is worst they've seen, retired police say","The San Francisco Bay Area, where 80 suspects on Saturday allegedly stole from a Nordstrom in Walnut Creek, continue to be plagued by the crimes, officials say.",https://www.nbcnews.com/news/us-news/shoplifting-incident-80-suspects-worst-seen-retired-police-say-rcna6393,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211122-chicago-smash-grab-snip-ac-446p-1d659f.jpg",2021-11-22T23:54:54Z,A shoplifting incident involving 80 suspects accused of grabbing items and rushing out of a California Nordstrom store in under a minute Saturday night is among the worst such episodes theyve heard o… [+3453 chars],nbc-news,NBC News
3,Dennis Romero and Juliette Arcodia,Storm causes southeast coastal flooding,An intense Atlantic storm off the northern coast of Florida caused some flooding in the southeast Saturday. No major damage was reported.,https://www.nbcnews.com/news/weather/intense-storm-causes-coastal-flooding-southeast-n1283411,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_44/3517656/211106-noaa-storm-cc-1049p.jpg",2021-11-07T02:43:00Z,A storm off the northern coast of Florida contributed to coastal flooding Friday and Saturday up and down the southeast coast and was poised to keep churning up heavy weather through the end of the w… [+1792 chars],nbc-news,NBC News
4,Phil Helsel,Raiders waive CB Damon Arnette over video post of gun threat,The Las Vegas Raiders are waiving cornerback Damon Arnette after a video was posted in which the cornerback allegedly had a gun and said he'd kill someone.,https://www.nbcnews.com/news/sports/raiders-waive-cb-damon-arnette-over-video-post-gun-threat-n1283531,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_45/3517987/211108-damon-arnette-jm-2005.jpg",2021-11-09T02:26:00Z,"The Las Vegas Raiders on Monday waived cornerback Damon Arnette after a video surfaced reportedly showing him with a gun and threatening to kill someone in a social media-style post, the team's gener… [+1652 chars]",nbc-news,NBC News
5,Elisha Fieldstadt,Video shows plane narrowly miss skydivers,"Terrifying video out of Mossel Bay, South Africa, shows a plane narrowly misss skydivers after the pilot lost control and began to spiral downward.",https://www.nbcnews.com/news/world/video-shows-plane-narrowly-miss-skydivers-south-africa-n1283332,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_44/3517373/211105-skydivers-plane-mn-1015.jpg",2021-11-05T15:15:00Z,"Terrifying video out of Mossel Bay, South Africa, shows a plane narrowly miss skydivers after the pilot lost control and began to spiral downward.
""It is a fascinating and unusual thing to see your … [+1544 chars]",nbc-news,NBC News
6,Henry J. Gomez,"Fueled by Trump-inspired grievance, attempts to terrorize public officials escalate","Through public records requests, several previously unreported incidents came to light — while Capitol Police officials say the agency expects to log more than 9,000 threats this year.",https://www.nbcnews.com/politics/politics-news/fueled-trump-inspired-grievance-attempts-terrorize-public-officials-escalate-n1284291,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/newscms/2021_46/3520188/211119-capitol-riot-se-416p.jpg",2021-11-21T09:30:11Z,"When Rep. Joe Neguse delivered his closing remarks in February at the impeachment trial of former President Donald Trump, he expressed concern about the direction of a nation that weeks earlier witne… [+9964 chars]",nbc-news,NBC News
7,Ananta Agarwal and Anagha Subhash Nair,India has an eroding image of tolerance in the West. A recent cricket loss proves why.,"In India, a Hindu-majority country, ethno-religious tensions with its Muslim-minority, boiled over after defeat to Pakistan in the cricket T20 World Cup.",https://www.nbcnews.com/news/world/india-eroding-image-tolerance-west-recent-cricket-loss-proves-rcna6788,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211126-pak-ind-cricket-mb-1439-9a0b46.jpg",2021-11-27T09:30:19Z,"When India meets its archrival Pakistan on the cricket field, even those who do not follow the sport sit up and watch. But at the opening match of the T20 World Cup late last month, they were in for … [+8227 chars]",nbc-news,NBC News
8,Char Adams,"Black jail officers say sheriff's department has a ""culture of animosity""","Three Black female officers with a sheriff’s department in Washington state say in a civil lawsuit, filed in Pierce County Superior Court, that they’ve endured",https://www.nbcnews.com/news/nbcblk/black-jail-officers-say-sheriffs-department-culture-animosity-rcna5334,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211109-tacoma-police-al-1136-8c66d7.jpg",2021-11-11T20:22:16Z,"Three Black female officers with a sheriffs department in Washington state say in a civil lawsuit, filed in Pierce County Superior Court, that theyve endured racist harassment for decades from collea… [+4983 chars]",nbc-news,NBC News
9,Bill Dill,‘Rust’ shooting reveals what cinematographers like me already know about film sets,Alec Baldwin's shooting of Halyna Hutchins on the set of 'Rust' with a prop gun highlights what cinematographers like me have been warning about for years.,https://www.nbcnews.com/think/health-technology/alec-baldwin-rust-biggest-problem-prop-guns-rcna4518,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2021-11/211025-bonanza-creek-ranch-rust-ew-700p-c71b0a.jpg",2021-11-03T23:55:26Z,"Following the tragic death of my former cinematography student, Halyna Hutchins, from a prop gun that Alec Baldwin fired during rehearsals for the movie Rust, its become clear to me that the public d… [+4678 chars]",nbc-news,NBC News
