,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,"Passenger punched Southwest Air agent, sending her to hospital","Aviation authorities have reported more than 5,000 incidents of passengers behaving badly this year.",https://www.cbsnews.com/news/woman-arrested-for-punching-southwest-airlines-worker/,https://cbsnews3.cbsistatic.com/hub/i/r/2021/10/11/01149233-8f09-48f7-988d-3f00da9c6ace/thumbnail/1200x630/f15caddb421905317c5d30dc87979b9c/gettyimages-1235825048.jpg,2021-11-15T15:43:45Z,"A woman has been arrested after she punched a Southwest Airlines employee in the head during boarding, sending the worker to the hospital, police said.
Arielle Jean Jackson, 32, was arrested Saturda… [+1700 chars]",cbs-news,CBS News
1,Olivia Olivia,"Secretary of state appoints 2 diplomats to lead ""Havana Syndrome"" response",American diplomats and intelligence officers around the world continue to report symptoms.,https://www.cbsnews.com/news/havana-syndrome-blinken-response/,https://cbsnews2.cbsistatic.com/hub/i/r/2021/10/22/ea38ac53-d9f1-4e38-9399-69ee0ad7dcdc/thumbnail/1200x630/a88e546a0331547b8d5a9052224d1f34/cbsn-fusion-secretary-of-state-antony-blinken-travels-to-ecuador-and-colombia-thumbnail-820989-640x360.jpg,2021-11-05T16:33:21Z,"Secretary of State Antony Blinken announced on Friday the appointment of two senior officials to oversee the State Department's response to incidents of ""Havana Syndrome"" among its employees. Their a… [+5408 chars]",cbs-news,CBS News
2,Sophie Sophie,Olympian Suni Lee says she was pepper-sprayed in racist attack,Lee took home the gold medal for the women's gymnastics all-around at the Tokyo Olympics in July.,https://www.cbsnews.com/news/sunisa-lee-gymnastics-star-says-she-was-pepper-sprayed-in-racist-attack/,https://cbsnews3.cbsistatic.com/hub/i/r/2021/11/12/72e9b36d-4ee0-4c76-a425-baa127052ff3/thumbnail/1200x630/1eb0409e856c62e965a3fc39384fca4e/suni-lee.jpg,2021-11-12T01:30:01Z,"Olympic gymnast Suni Lee said this week that she was the target of a racist attack months after winning gold at the Tokyo Olympics. Lee, a Hmong-American 18-year-old from Minnesota, told PopSugar abo… [+1921 chars]",cbs-news,CBS News
3,"Errol Errol, Allison Elyse Gualtieri",FAA refers 37 unruly airline passengers to FBI,The FAA has also proposed more than $1 million in fines for bad behavior.,https://www.cbsnews.com/news/unruly-passengers-airplanes-fbi-criminal-review/,https://cbsnews2.cbsistatic.com/hub/i/r/2020/10/20/29ed7fed-0e01-458f-a692-db753efbb63c/thumbnail/1200x630/fe3bcc941e413e6bcf98755ff6cbdefc/gettyimages-732735913.jpg,2021-11-04T16:38:34Z,"Of the roughly 5,000 reports of unruly passenger behavior this year, the Federal Aviation Administration has submitted 37 incidents to the FBI for criminal review, CBS News has learned. The referrals… [+3509 chars]",cbs-news,CBS News
4,Olivia Olivia,CIA director meets in Moscow with top Russian official amid high tensions,The Biden administration has been trying to foster a more stable and predictable relationship with the Kremlin.,https://www.cbsnews.com/news/cia-director-meets-in-moscow-with-top-russian-official-amid-heightened-tensions/,https://cbsnews2.cbsistatic.com/hub/i/r/2013/07/15/5155fcf5-1c4f-11e3-9918-005056850598/thumbnail/1200x630/0c76f60e3b5bad7981ec7ce2c4591711/WilliamBurns_173277346.jpg,2021-11-02T21:48:13Z,"CIA Director William Burns met with a top Russian security official on Tuesday, a spokesperson from the U.S. Embassy in Moscow confirmed. At President Biden's request, Burns was leading a delegation … [+4002 chars]",cbs-news,CBS News
5,,Fentanyl-laced marijuana confirmed in Connecticut,"Health officials in Connecticut have issued a warning about fentanyl-laced marijuana, which is being eyed in a rash of overdoses throughout the state.",https://www.cbsnews.com/news/fentanyl-laced-marijuana-connecticut-officials-warning/,https://cbsnews2.cbsistatic.com/hub/i/r/2021/06/08/4e714e26-6db6-4d0c-8a4f-704ac2161e6f/thumbnail/1200x630g8/f5dfbe77d74d5591e01cc463ce5453d1/joint-for-jabs.jpg,2021-11-20T15:41:11Z,"Health officials in Connecticut have issued a warning about fentanyl-laced marijuana, which is being eyed in a rash of overdoses throughout the state. 
Since July, 39 overdoses requiring the use of … [+1234 chars]",cbs-news,CBS News
6,,Group of 20-30 robbers swarm Best Buy in Minnesota on Black Friday,The theft resembles other mass robberies recently seen across the country.,https://www.cbsnews.com/news/robbers-swarm-best-buy-minnesota-black-friday-theft/,https://cbsnews2.cbsistatic.com/hub/i/r/2014/09/17/1b832efb-79f4-475e-8a0c-50648a31a901/thumbnail/1200x630/72cc8d7ba836d140694f4b409494f050/policecargeneric-e1322411977953.jpg,2021-11-27T14:55:20Z,"A group of up to 30 people robbed a Best Buy store in the Minneapolis-Saint Paul area on Black Friday, according to authorities. 
The theft resembles other mass robberies recently seen across the co… [+1292 chars]",cbs-news,CBS News
7,Allison Allison,Accused unruly passengers face fines and arrests,"The FAA has requested another $160,000 in fines and the attorney general wants to prioritize prosecutions for crimes on flights.",https://www.cbsnews.com/news/unruly-passenger-incidents-garner-federal-attention-as-holiday-travel-season-starts/,https://cbsnews2.cbsistatic.com/hub/i/r/2015/09/29/becddae4-df53-4cc3-8fea-6823e84036fb/thumbnail/1200x630/bb2587c6df66511fccf876b7f127dcf3/ctm1029allegiant640x360.jpg,2021-11-24T22:38:44Z,"A woman was kicked off an Allegiant Air flight and arrested Sunday for refusing to wear a face mask, police said. As she was wheeled down the jetway in Las Vegas, police said, the woman allegedly yel… [+4018 chars]",cbs-news,CBS News
8,Adam Adam,GOP Senate candidate loses custody battle; was accused of abuse,Parnell and Laurie Snell had each sought primary custody of their children in court.,https://www.cbsnews.com/news/trump-republican-senate-candidate-sean-parnell-abuse-custody-battle/,https://cbsnews3.cbsistatic.com/hub/i/r/2021/11/22/c8857de9-ed9d-4524-9438-3bac34b16c41/thumbnail/1200x630g2/9a39a9dbda9e91e91e96e1fee23175ee/parnell.png,2021-11-22T19:41:24Z,"FILE - In this Sept. 22, 2020 file photo, Sean Parnell walks through people gathered at a campaign rally for President Donald Trump at the Pittsburgh International Airport in Moon Township, Pa. 
Kei… [+2637 chars]",cbs-news,CBS News
9,,California man charged with assaulting American Airlines flight attendant,"Brian Hsu, 20, has been charged with interference with a flight crew and assault within the special aircraft jurisdiction of the United States, authorities said.",https://www.cbsnews.com/news/brian-hsu-chargesed-alleged-assault-on-american-airlines-flight-attendant/,https://cbsnews1.cbsistatic.com/hub/i/r/2021/02/25/1cd1c89e-61eb-42b7-8e65-34e6caefb273/thumbnail/1200x630g2/aaf68f3ae700b458c8f70139e0b02905/american-airlines-1256555528.jpg,2021-11-01T18:57:51Z,"A California man is facing criminal charges stemming from the violent assault of an American Airlines flight attendant last week. Brian Hsu, 20, has been charged with interference with a flight crew … [+1854 chars]",cbs-news,CBS News
