,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,,Saudi air defences intercept and destroy drone launched toward Abha airport -SPA - Reuters,"Saudi air defences intercepted and destroyed an explosives-laden drone targeting Abha International Airport in the southwestern part of the kingdom, the state news agency said on Saturday, citing the Saudi-led coalition fighting Iran-aligned Houthis in Yemen.",https://www.reuters.com/world/middle-east/saudi-air-defences-intercept-destroy-drone-launched-toward-abha-airport-spa-2021-11-06/,https://www.reuters.com/resizer/juQU-k27DFPbZik3WF7uRPcu8Dg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZPQFAZ4ADRIWFLGYD4H3UKGIME.jpg,2021-11-06T15:03:00Z,"A Saudi security officer walks past the Saudi Arabia's Abha airport, after it was attacked by Yemen's Houthi group in Abha, Saudi Arabia June 13, 2019. REUTERS/Faisal al NasserCAIRO, Nov 6 (Reuters) … [+545 chars]",reuters,Reuters
1,Reuters Editorial,Iraq's PM escapes 'assassination attempt': military - Reuters,"A drone laden with explosives targeted the residence of Iraq's Prime Minister Mustafa al-Kadhimi in Baghdad early on Sunday in what the Iraqi military called an attempted assassination, but said Kadhimi escaped unhurt. Jayson Albano reports.",https://www.reuters.com/video/watch/idOVF2LTENF,https://static.reuters.com/resources/r/?d=20211107&i=OVF2LTENF&r=OVF2LTENF&t=2,2021-11-07T05:41:35Z,"Posted 
A drone laden with explosives targeted the residence of Iraq's Prime Minister Mustafa al-Kadhimi in Baghdad early on Sunday in what the Iraqi military called an attempted assassination, but … [+50 chars]",reuters,Reuters
2,Reuters Editorial,Iraq's PM escapes 'assassination' attempt: military - Reuters,"A drone laden with explosives targeted the residence of Iraqi Prime Minister Mustafa al-Kadhimi in Baghdad early on Sunday in what the Iraqi military called an attempted assassination, but said Kadhimi escaped unhurt.",https://www.reuters.com/video/watch/idRCV00AF59,https://static.reuters.com/resources/r/?d=20211107&i=RCV00AF59&r=RCV00AF59&t=2,2021-11-07T06:13:32Z,"Posted 
A drone laden with explosives targeted the residence of Iraqi Prime Minister Mustafa al-Kadhimi in Baghdad early on Sunday in what the Iraqi military called an attempted assassination, but s… [+26 chars]",reuters,Reuters
3,,"Drone attack targets Iraq PM, who escapes unhurt - Iraq military - Reuters","A drone laden with explosives targeted the residence of Iraq's Prime Minister Mustafa al-Kadhimi in Baghdad early on Sunday in what the Iraqi military called an attempted assassination, but said Kadhimi escaped unhurt.",https://www.reuters.com/world/middle-east/drone-attack-targets-iraq-pm-who-escapes-unhurt-iraq-military-2021-11-07/,https://www.reuters.com/resizer/P3uKbCjMwAf045_TOI8b96vKdlU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/S475NGMGRBLYBAQATWTAJUMMUA.jpg,2021-11-07T00:26:00Z,"Iraqi Prime Minister Mustafa al-Kadhimi attends the Baghdad summit in Baghdad, Iraq, August 28, 2021. Iraqi Prime Minister Media Office/Handout via REUTERSBAGHDAD, Nov 7 (Reuters) - A drone laden wit… [+1066 chars]",reuters,Reuters
4,,Iran-backed militia behind attack on Iraqi PM - sources - Reuters,"A drone attack that targeted the Iraqi prime minister on Sunday was carried out by at least one Iran-backed militia group, Iraqi security officials and sources close to the militias said.",https://www.reuters.com/world/middle-east/iran-backed-militia-behind-attack-iraqi-pm-sources-2021-11-08/,https://www.reuters.com/resizer/ZiL5HwxLtehq940mRPXt3dhUMWo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/HWLLH3JFIZIHHALRYF7I3LCR2I.jpg,2021-11-08T11:49:00Z,"Iraqi Prime Minister Mustafa al-Kadhimi speaks during a joint news conference with German Chancellor Angela Merkel (not pictured) at the Chancellery in Berlin, Germany October 20, 2020. Stefanie Loos… [+904 chars]",reuters,Reuters
5,,"Uganda says seven suspects killed, 100 others held during Kampala blasts investigation - Reuters",Uganda said on Monday that seven suspects had been killed and 106 people detained during operations by the security services linked to three suicide bombings in the capital Kampala last week.,https://www.reuters.com/world/africa/uganda-says-seven-suspects-killed-100-others-held-during-kampala-blasts-2021-11-22/,https://www.reuters.com/resizer/mUwn_brztY60mwhohHH_b8GI0kY=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/DNRHFKYV35M2PCBAAEPTBXQWOA.jpg,2021-11-22T15:55:00Z,"Ugandan explosives experts secure the scene of an explosion in Komamboga, a suburb on the northern outskirts of Kampala, Uganda October 24, 2021. REUTERS/Abubaker Lubowa/File PhotoKAMPALA, Nov 22 (Re… [+744 chars]",reuters,Reuters
6,,"Blast reported in mosque in Afghanistan, at least 12 wounded - local residents - Reuters","An explosion hit a mosque in the Spin Ghar area of Nangarhar province in eastern Afghanistan during Friday prayers, wounding at least 12 people including the local mullah, a residents of the area said.",https://www.reuters.com/world/asia-pacific/blast-reported-mosque-afghanistan-least-12-wounded-local-residents-2021-11-12/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=57,2021-11-12T09:55:00Z,"KABUL, Nov 12 (Reuters) - An explosion hit a mosque in the Spin Ghar area of Nangarhar province in eastern Afghanistan during Friday prayers, wounding at least 12 people including the local mullah, a… [+339 chars]",reuters,Reuters
7,,"Baths, garlands for man's best friend at Nepal's canine festival - Reuters","Hindus across Nepal honoured their dogs with baths, garlands and special treats on Wednesday, the second day of the five-day Tihar festival, during which even crows and cows get respect.",https://www.reuters.com/business/cop/baths-garlands-mans-best-friend-nepals-canine-festival-2021-11-03/,https://www.reuters.com/resizer/lHLlgNib8V8Ezl0CVyl5omNT284=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/L5HDL3CJYROILC6MMDPWEBEBVQ.jpg,2021-11-03T06:18:00Z,"KATHMANDU, Nov 3 (Reuters) - Hindus across Nepal honoured their dogs with baths, garlands and special treats on Wednesday, the second day of the five-day Tihar festival, during which even crows and c… [+1280 chars]",reuters,Reuters
8,,Pope condemns attack on Iraqi PM as vile act of terrorism - Reuters,"Pope Francis on Tuesday condemned the drone attack on Iraqi Prime Minister Mustafa al-Kadhimi's residence as a ""vile act of terrorism"".",https://www.reuters.com/world/pope-condemns-attack-iraqi-pm-vile-act-terrorism-2021-11-09/,https://www.reuters.com/resizer/91SbJnneuMlk1nI_0thK8nET2rA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/KGM3RQQ7QVKYLFDUA6RTADTGBM.jpg,2021-11-09T10:30:00Z,"VATICAN CITY, Nov 9 (Reuters) - Pope Francis on Tuesday condemned the drone attack on Iraqi Prime Minister Mustafa al-Kadhimi's residence as a ""vile act of terrorism"".
Al-Kadhimi escaped unhurt when… [+873 chars]",reuters,Reuters
9,,Russian satirist faces up to 8 years jail for sketch that mocks officials - Reuters India,"A Russian satirical filmmaker was charged with hooliganism on Wednesday and could be jailed for up to eight years over a YouTube sketch in which a fictional local official accidentally blows up a bus stop, his lawyer told Reuters.",https://www.reuters.com/world/russian-satirist-faces-up-8-years-jail-sketch-that-mocks-officials-2021-11-24/,https://www.reuters.com/resizer/uJpKqD_1ZUqc_jJ32U6Jz9HJ0HU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/3R67G4PEN5JAJG562PNHLSDLYU.jpg,2021-11-24T10:15:00Z,"MOSCOW, Nov 24 (Reuters) - A Russian satirical filmmaker was charged with hooliganism on Wednesday and could be jailed for up to eight years over a YouTube sketch in which a fictional local official … [+1808 chars]",reuters,Reuters
