,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Hans Nichols,Big business sharpens attack on Build Back Better - Axios,"The groups are warning Democrats about its overall costs, potential effects on inflation and $800 billion in corporate tax increases.",https://www.axios.com/big-business-sharpens-attack-build-back-better-51323e3b-286a-495d-acf7-026ac3b513cc.html,https://images.axios.com/u_DdV0n1PzjA26C7lUckQz2lxS0=/0x0:1920x1080/1366x768/2021/11/09/1636501070366.jpg,2021-11-10T01:22:12Z,"Business groups are sharpening their attacks on President Biden's Build Back Better package, warning congressional Democrats about its overall costs, potential effects on inflation and $800 billion i… [+3265 chars]",axios,Axios
1,Rebecca Falconer,American Olympic gold medalist Suni Lee reveals she was pepper-sprayed in racist attack,"American Olympic gold medalist Sunisa ""Suni"" Lee revealed this week that she was pepper-sprayed in a racist attack in Los Angeles.Details: Lee, the first Hmong American to compete at the Olympics, told PopSugar in an interview published Wednesday that a gang …",https://www.axios.com/olympian-sunisa-lee-pepper-sprayed-racist-attack-f7dfb7d5-766d-4b69-8b1a-647ad70c883f.html,https://images.axios.com/EZQL_7PB371_1X6wW2ryqrTT2nk=/0x42:3385x1946/1366x768/2021/11/12/1636678638547.jpg,2021-11-12T01:26:06Z,"American Olympic gold medalist Sunisa ""Suni"" Lee revealed this week that she was pepper-sprayed in a racist attack in Los Angeles.
Details: Lee, the first Hmong American to compete at the Olympics, … [+883 chars]",axios,Axios
2,Jonathan Swan,"NATO chief: Jan. 6 was attack on ""core values"" of alliance","NATO Secretary General Jens Stoltenberg told ""Axios on HBO"" that the Jan. 6 siege on the U.S. Capitol was also an attack on the core values of the world's biggest military alliance.Driving the news: ""I regard that as an attack on the core democratic instituti…",https://www.axios.com/nato-chief-jan6-capitol-f5724318-563e-4640-b06a-cb31faf791cc.html,https://images.axios.com/_-YOXELWT_4SVi1ifeNGCvxLlMs=/0x0:3223x1813/1366x768/2021/11/14/1636916900253.jpg,2021-11-14T23:21:36Z,"NATO Secretary General Jens Stoltenberg told ""Axios on HBO"" that the Jan. 6 siege on the U.S. Capitol was also an attack on the core values of the world's biggest military alliance.
Driving the news… [+4252 chars]",axios,Axios
3,Axios,Report: Putin eyes possible Ukraine invasion - Axios,"<ol><li>Report: Putin eyes possible Ukraine invasion  Axios
</li><li>U.S. Intel Shows Russia Plans for Potential Ukraine Invasion  Yahoo Finance
</li><li>Russia accuses US of 'hysteria' over possible Ukraine invasion: 'Whipped up artificially'  Fox News
</…",https://www.axios.com/russia-putin-eyes-possible-ukraine-invasion-8ab64d70-7f71-4e9f-aa4a-f81692087e1b.html,https://images.axios.com/9PZG3uzAqSV6Nq5pRtkeqcWCuTg=/0x0:1920x1080/1366x768/2021/11/22/1637582018676.jpg,2021-11-22T11:56:30Z,"The U.S. has shared intelligence with European allies indicating that Russia is planning for a potential large-scale invasion of Ukraine early next year, Bloomberg reports.
Why it matters: The attac… [+701 chars]",axios,Axios
4,Ivana Saric,U.S. charges two suspected ransomware hackers,"Attorney General Merrick Garland on Monday unveiled charges against two suspected hackers in connection to attacks by the Russia-linked REvil ransomware group.Driving the news: Yaroslav Vasinskyi, 22, was indicted by U.S. authorities in August in connection t…",https://www.axios.com/ransomware-hackers-revil-charges-doj-6546cdaa-97d9-4b8c-8f20-b67b9225260e.html,https://images.axios.com/epDnKJ9ayzwK_IhUntlgRPW10xI=/0x146:5000x2959/1366x768/2021/11/08/1636397252167.jpg,2021-11-08T19:20:23Z,"Attorney General Merrick Garland on Monday unveiled charges against two suspected hackers in connection to attacks by the Russia-linked REvil ransomware group.
Driving the news: Yaroslav Vasinskyi, … [+1885 chars]",axios,Axios
5,Yacob Reyes,Iraqi prime minister survives drone assassination attempt,"Iraqi Prime Minister Mustafa Al-Kadhimi survived an assassination attempt on Sunday after armed drones targeted his residence in Baghdad.Why it matters: The drone strike is the latest escalation amid tensions between security forces and Iran-backed militias, …",https://www.axios.com/iraq-prime-minister-assassination-attempt-35be70dc-cf8f-4566-b4d4-91759c2eaffe.html,https://images.axios.com/pc9NtCo0VADUs9wN_sX7fvbwoWY=/614x170:4213x2194/1366x768/2021/11/07/1636293639887.jpg,2021-11-07T14:39:48Z,"Iraqi Prime Minister Mustafa Al-Kadhimi survived an assassination attempt on Sunday after armed drones targeted his residence in Baghdad.
Why it matters: The drone strike is the latest escalation am… [+1105 chars]",axios,Axios
6,Axios,2 former police officers who used Tasers on man over 50 times convicted of murder,"Two former Oklahoma police officers who used Tasers over 50 times on an unarmed man who later died have been convicted of second-degree murder, the New York Times reported Monday.Why it matters: The death of Jared Lakey, 28, from a heart attack minutes after …",https://www.axios.com/oklahoma-police-taser-murder-conviction-9f216534-2a4b-4984-bc31-c927b1be7bcf.html,https://images.axios.com/SQ5rei9zUAPxHLKlduEnySGOO1w=/0x600:6000x3975/1366x768/2021/11/09/1636427787705.jpg,2021-11-09T05:37:52Z,"Two former Oklahoma police officers who used Tasers over 50 times on an unarmed man who later died have been convicted of second-degree murder, the New York Times reported Monday.
Why it matters: Th… [+1647 chars]",axios,Axios
7,Erin Doherty,"Trump seeks to shield call logs, staff notes from Jan. 6 investigators","Former President Trump is seeking to block the release of documents, including call logs, speeches and notes from his staff, in connection with the Jan. 6 Capitol riot, a court filing revealed on Saturday.Driving the news: The 45th president has filed suit to…",https://www.axios.com/trump-shield-call-logs-notes-jan-6-investigators-4ee3f792-8ea8-42dc-a561-e5dbe712d163.html,https://images.axios.com/aTTSb8kncf6RbUYZIevUFKTgF20=/0x256:4000x2506/1366x768/2021/10/30/1635601613680.jpg,2021-10-30T14:47:26Z,"Former President Trump is seeking to block the release of documents, including call logs, speeches and notes from his staff, in connection with the Jan. 6 Capitol riot, a court filing revealed on Sat… [+1270 chars]",axios,Axios
8,Yacob Reyes,Capitol rioter who punched officer gets 41 months in longest Jan. 6 sentence,"A former mixed martial arts fighter was sentenced to 41 months in prison Wednesday after pleading guilty to assaulting a police officer, a felony charge stemming from his participation in the Jan. 6 Capitol riot.Why it matters: Scott Fairlamb, 44, is the firs…",https://www.axios.com/capitol-riot-41-months-prison-longest-jan-6-sentence-4a56140d-5c0a-4698-bbcc-71b00629c611.html,https://images.axios.com/1S-2i1e-ujIQpWHVJqapmuCkBU8=/0x88:3000x1775/1366x768/2021/11/10/1636567516404.jpg,2021-11-10T18:27:36Z,"A former mixed martial arts fighter was sentenced to 41 months in prison Wednesday after pleading guilty to assaulting a police officer, a felony charge stemming from his participation in the Jan. 6 … [+1262 chars]",axios,Axios
9,Yacob Reyes,Alex Jones found liable in Sandy Hook defamation lawsuit,"Conspiracy theorist Alex Jones is liable for damages in a lawsuit brought by families of Sandy Hook shooting victims after he falsely claimed the attack was a hoax, a Connecticut judge ruled Monday.Why it matters: This is Jones' latest defeat in defamation la…",https://www.axios.com/alex-jones-sandy-hook-conspiracy-theory-lawsuit-9fb026d4-6523-48ae-8aab-73e34da943b2.html,https://images.axios.com/bMXc4OZyT0U92OZGeYTG3nUY8To=/0x631:6057x4038/1366x768/2021/11/15/1636996801247.jpg,2021-11-15T18:10:05Z,"Conspiracy theorist Alex Jones is liable for damages in a lawsuit brought by families of Sandy Hook shooting victims after he falsely claimed the attack was a hoax, a Connecticut judge ruled Monday.… [+1180 chars]",axios,Axios
10,"Miriam Kramer, Jacob Knutson",Russian anti-satellite test reveals dangers of space junk,"A Russian anti-satellite weapon test this week demonstrated just how extreme the space junk threat is in orbit today.Why it matters: As space gets more crowded, events like a missile destroying a satellite, an explosion of a defunct spacecraft or a satellite-…",https://www.axios.com/russia-anti-satellite-weapon-test-space-junk-08ffdd19-e2a0-4e44-8aab-8d2ce9e076c1.html,https://images.axios.com/HfjcJO3Mj9geMdgR1XOGy0sK0Ao=/0x0:1920x1080/1366x768/2021/11/15/1637006458805.jpg,2021-11-16T10:30:35Z,"A Russian anti-satellite weapon test this week demonstrated just how extreme the space junk threat is in orbit today.
Why it matters: As space gets more crowded, events like a missile destroying a s… [+3214 chars]",axios,Axios
