,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
0,Daniel Flatley,"U.S., Israel Join Forces to Combat Ransomware Attacks",The U.S. and Israel established a joint cybersecurity initiative to fight the use of ransomware in hacking incidents and threats to the global financial system.,https://www.bloomberg.com/news/articles/2021-11-14/u-s-israel-join-forces-to-combat-ransomware-attacks,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/ijYTdmIgv8N8/v0/1200x800.jpg,2021-11-14T19:18:21Z,"The U.S. and Israel established a joint cybersecurity initiative to fight the use of ransomware in hacking incidents and threats to the global financial system.
Less than two weeks after the U.S. 
… [+2518 chars]",bloomberg,Bloomberg
1,,Los Angeles Luxury Mall Hit By Smash-and-Grab Thieves After Bay Area Incidents,"Los Angeles (AP) -- A group of thieves smashed windows at a department store at a luxury mall in Los Angeles, triggering a police pursuit just days after high-end stores throughout the San Francisco Bay Area were targeted.",https://www.bloomberg.com/news/articles/2021-11-23/3-held-after-smash-and-grab-theft-at-los-angeles-luxury-mall,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iEwgZLGKXomI/v1/1200x755.jpg,2021-11-24T01:17:34Z,"Los Angeles (AP) -- A group of thieves smashed windows at a department store at a luxury mall in Los Angeles, triggering a police pursuit just days after high-end stores throughout the San Francisco … [+6012 chars]",bloomberg,Bloomberg
2,,Fire in Indian Hospital Covid-19 Ward Kills 11 Patients,"New Delhi (AP) -- Eleven patients died Saturday after a fire broke out in a hospital's COVID-19 ward in the western Indian state of Maharashtra, police said.",https://www.bloomberg.com/news/articles/2021-11-06/fire-in-indian-hospital-covid-19-ward-kills-10-patients,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iwhj77H_n038/v1/1200x800.jpg,2021-11-06T10:49:01Z,"Sign up here for our daily coronavirus newsletter on what you need to know
New Delhi (AP) -- Eleven patients died Saturday after a fire broke out in a hospital's COVID-19 ward in the western Indian … [+872 chars]",bloomberg,Bloomberg
3,Justin Bachman,Southwest Air Worker Hospitalized After Dallas Boarding Fracas,A Southwest Airlines Co. employee in Texas was taken to a hospital after being punched in the head by a passenger boarding a flight to New York.,https://www.bloomberg.com/news/articles/2021-11-14/southwest-air-worker-hospitalized-after-dallas-boarding-fracas,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iR9iMaAgUjKc/v0/1200x800.jpg,2021-11-14T20:38:20Z,"A 
Southwest Airlines Co. employee in Texas was taken to a hospital after being punched in the head by a passenger boarding a flight to New York.
Dallas police arrested Arielle Jean Jackson, 32, at… [+1312 chars]",bloomberg,Bloomberg
4,"Taiga Uranaka, Taro Fuse, Takashi Umekawa",Japan's Mizuho Given Business Improvement Order on System Issues - Bloomberg,"Japan’s banking regulator issued a business improvement order on Mizuho Financial Group Inc., criticizing the country’s third-largest lender for its shortcomings in governance and corporate culture behind a series of system glitches this year.",https://www.bloomberg.com/news/articles/2021-11-26/japan-s-mizuho-will-be-given-improvement-order-on-system-issues,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iGE3eiX3Puzc/v0/1200x800.jpg,2021-11-26T06:34:00Z,"Japans banking regulator issued a business improvement order on Mizuho Financial Group Inc., criticizing the countrys third-largest lender for its shortcomings in governance and corporate culture beh… [+2037 chars]",bloomberg,Bloomberg
5,,Victims Identified in Weekend Houston Concert Tragedy,"Houston (AP) -- Authorities on Monday released the names of the eight people who died at a Houston music festival, as investigators watched video, interviewed witnesses and reviewed procedures to try to determine what went wrong when the crowd rushed the stag…",https://www.bloomberg.com/news/articles/2021-11-08/barriers-crowd-control-in-focus-in-houston-concert-deaths,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iToYreGRPTLw/v0/1200x800.jpg,2021-11-08T19:09:27Z,"Houston (AP) -- Authorities on Monday released the names of the eight people who died at a Houston music festival, as investigators watched video, interviewed witnesses and reviewed procedures to try… [+4899 chars]",bloomberg,Bloomberg
6,,Damp Jersey Shore Town Ponders a Fix for 'Sunny Day' Floods,"Bay Head, N.J. (AP) -- An elite but often-underwater beach town at the Jersey Shore is looking for its own solutions to back bay flooding, deciding it can't wait for state and federal officials to agree on a fix.",https://www.bloomberg.com/news/articles/2021-11-13/damp-jersey-shore-town-ponders-a-fix-for-sunny-day-floods,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/is4dep80AoNc/v0/1200x900.jpg,2021-11-13T13:38:13Z,"Bay Head, N.J. (AP) -- An elite but often-underwater beach town at the Jersey Shore is looking for its own solutions to back bay flooding, deciding it can't wait for state and federal officials to ag… [+4213 chars]",bloomberg,Bloomberg
7,Olivia Carville,'Airbnb Queen' Says She's Caught Up in Platform's New York Feud,City sued Martine Lacroix for running an illegal hotel empire in violation of what she calls ‘a petty little law’,https://www.bloomberg.com/news/features/2021-11-04/-airbnb-queen-says-she-s-caught-up-in-platform-s-new-york-feud,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/imFPLdo0aV_k/v0/1200x900.jpg,2021-11-04T09:00:12Z,"Airbnb Inc. declared a cease-fire last year in its long-running feud with New York City over short-term rentals. But for Martine Lacroix, the self-proclaimed Airbnb Queen, the bullets are still flyin… [+8074 chars]",bloomberg,Bloomberg
8,Nick Wadhams,U.S. Names ‘Havana Syndrome’ Envoy to Lead Investigation of Mystery Illness,"Secretary of State Antony Blinken appointed a longtime diplomat to lead the investigation into dozens of cases of “Havana Syndrome,” as the Biden administration struggles to get to the bottom of an illness that’s been called either an attack by a foreign adve…",https://www.bloomberg.com/news/articles/2021-11-05/u-s-taps-havana-syndrome-envoy-as-illness-remains-a-mystery,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/iVDZd4iEMyM4/v1/1200x820.jpg,2021-11-05T15:31:12Z,"Secretary of State Antony Blinken appointed a longtime diplomat to lead the investigation into dozens of cases of Havana Syndrome, as the Biden administration struggles to get to the bottom of an ill… [+2862 chars]",bloomberg,Bloomberg
9,Anthony Capaccio,How the U.S. Military Ignored Whistle-Blower Tips on Civilians Killed in Syria,"U.S. Central Command failed to follow Pentagon procedures in handling whistle-blower allegations that dozens of civilians were killed in March 2019 airstrikes in Syria, the Defense Department’s inspector general determined.",https://www.bloomberg.com/news/articles/2021-11-18/u-s-command-faulted-on-probe-of-civilian-toll-in-syria-strikes,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/i3k.SKEdFpLo/v0/1200x831.jpg,2021-11-18T18:17:03Z,"U.S. Central Command failed to follow Pentagon procedures in handling whistle-blower allegations that dozens of civilians were killed in March 2019 airstrikes in Syria, the Defense Departments inspec… [+6037 chars]",bloomberg,Bloomberg
